daysOnMarket,availableFrom,street,price,borough,zip,propertyType,beds,baths,latitude,longitude,hasVideo,PhotosNum,Number of Households,Median Household Income,Per Capita Income,Total Income Distribution,Median Gross Rent,Median Home Value,Occupied Housing Units,Vacant Housing Units,"Owner-Occupied Units (value < $100,000)",Monthly Housing Costs,Precinct,schools_in_precinct,nearby_subway_stations,crime_rate,precinct_safety_rank,Median Age_ratio,Male Population_ratio,Female Population_ratio,White Alone_ratio,Black or African American Alone_ratio,Asian Alone_ratio,Hispanic or Latino_ratio,Population Below Poverty Level_ratio,Employed_ratio,Unemployed_ratio,High School Graduate (Age 25+)_ratio,Bachelor’s Degree (Age 25+)_ratio,Graduate or Professional Degree (Age 25+)_ratio,Never Married_ratio,Currently Married_ratio,Divorced_ratio
42.0,2025-01-01,164 Dikeman Street #1R,3250.0,Brooklyn,11231,rental,2,1.0,40.67818538,-74.01517099,1,4,16498.0,130396.0,87008.0,16498.0,2309.0,1836600.0,16498.0,1458.0,37.0,2493.0,76,17,0,0.5505709650861085,1,0.0009709237940714,0.4707048855237065,0.5292951144762935,0.6450075974143037,0.1276880681964511,0.0554740013907131,0.1496819387571145,0.1392258363594221,0.5445929588709469,0.0438847253341574,0.0638955419918102,0.2579257771253445,0.0173581601380411,0.1620953411110252,0.192381982538824,0.0174354219784181
39.0,2024-10-18,44 Dikeman Street #2A,4599.0,Brooklyn,11231,rental,3,2.0,40.67549596,-74.01121916,1,20,16498.0,130396.0,87008.0,16498.0,2309.0,1836600.0,16498.0,1458.0,37.0,2493.0,76,17,0,0.5505709650861085,1,0.0009709237940714,0.4707048855237065,0.5292951144762935,0.6450075974143037,0.1276880681964511,0.0554740013907131,0.1496819387571145,0.1392258363594221,0.5445929588709469,0.0438847253341574,0.0638955419918102,0.2579257771253445,0.0173581601380411,0.1620953411110252,0.192381982538824,0.0174354219784181
33.0,2024-10-21,1506 Overing Street #3D,1950.0,Bronx,10461,coop,1,1.0,40.8409996,-73.84549713,1,10,18807.0,64444.0,33046.0,18807.0,1675.0,626700.0,18807.0,1240.0,32.0,1736.0,45,34,3,1.2646528020729784,38,0.0007430997876857,0.4705119131870724,0.5294880868129276,0.4142879609970905,0.0988637257214751,0.1306518833058111,0.4974050483604624,0.1638358103326256,0.4581662341747267,0.0408311708736337,0.1642289848234646,0.1192498230714791,0.0103994652826924,0.1654674844696076,0.1816269560430919,0.0267751828261382
15.0,2024-11-08,686 East 234th Street #E10,1620.0,Bronx,10466,rental,1,1.0,40.89413363,-73.85762457,1,6,24622.0,60892.0,29722.0,24622.0,1474.0,577600.0,24622.0,1139.0,320.0,1628.0,47,38,3,1.906438087193783,65,0.0005160986813886,0.4428348069126783,0.5571651930873217,0.0832814467366789,0.6421208473427145,0.0259017890498526,0.2935674456574377,0.1961728446307749,0.4246675798707678,0.0483721445076307,0.1671716962074357,0.1028461527818134,0.0037496713848878,0.1619000179873535,0.1603641747263846,0.0205055829978
3.0,2025-01-01,20 East 22nd Street #LD,5400.0,Manhattan,10010,rental,2,2.0,40.73997317,-73.98849934,1,8,16050.0,150288.0,132405.0,16050.0,2899.0,1093900.0,16050.0,2916.0,0.0,2799.0,13,26,6,1.469015827397351,52,0.0011045973464979,0.4878124035791422,0.5121875964208578,0.6689910521443999,0.0849429188522061,0.1563406356062943,0.0983029929034248,0.0767047207651959,0.5880592409750077,0.0139463128663992,0.0393397099660598,0.313236655353286,0.0289725393397099,0.189787102746066,0.1940759024992286,0.0247763036099969
1.0,2024-12-01,9 East 16th Street #2A,7995.0,Manhattan,10003,rental,2,1.0,40.73720169,-73.99169922,1,5,24987.0,152863.0,119200.0,24987.0,2731.0,1111000.0,24987.0,5779.0,27.0,2621.0,13,26,15,1.469015827397351,52,0.000597657627559,0.4872394528277372,0.5127605471722627,0.6777474618111624,0.0538077472762032,0.167474061287748,0.102845370009466,0.1004881489318262,0.6012769827570206,0.0299385637656142,0.0326855615568795,0.3018913451008779,0.0440818902314531,0.2945969523173153,0.1289789706182601,0.0205839226386027
3.0,2024-12-01,172 Fifth Avenue #5G,3250.0,Manhattan,10010,rental,0,1.0,40.74110417,-73.9903107,1,9,16050.0,150288.0,132405.0,16050.0,2899.0,1093900.0,16050.0,2916.0,0.0,2799.0,13,26,9,1.469015827397351,52,0.0011045973464979,0.4878124035791422,0.5121875964208578,0.6689910521443999,0.0849429188522061,0.1563406356062943,0.0983029929034248,0.0767047207651959,0.5880592409750077,0.0139463128663992,0.0393397099660598,0.313236655353286,0.0289725393397099,0.189787102746066,0.1940759024992286,0.0247763036099969
33.0,2024-11-22,225 Fifth Avenue #2K,15000.0,Manhattan,10010,rental,2,2.0,40.74359894,-73.98760223,1,14,16050.0,150288.0,132405.0,16050.0,2899.0,1093900.0,16050.0,2916.0,0.0,2799.0,13,26,15,1.469015827397351,52,0.0011045973464979,0.4878124035791422,0.5121875964208578,0.6689910521443999,0.0849429188522061,0.1563406356062943,0.0983029929034248,0.0767047207651959,0.5880592409750077,0.0139463128663992,0.0393397099660598,0.313236655353286,0.0289725393397099,0.189787102746066,0.1940759024992286,0.0247763036099969
3.0,2024-11-21,105 Fifth Avenue #8A,10000.0,Manhattan,10003,coop,2,2.0,40.73820114,-73.99150085,1,10,24987.0,152863.0,119200.0,24987.0,2731.0,1111000.0,24987.0,5779.0,27.0,2621.0,13,26,21,1.469015827397351,52,0.000597657627559,0.4872394528277372,0.5127605471722627,0.6777474618111624,0.0538077472762032,0.167474061287748,0.102845370009466,0.1004881489318262,0.6012769827570206,0.0299385637656142,0.0326855615568795,0.3018913451008779,0.0440818902314531,0.2945969523173153,0.1289789706182601,0.0205839226386027
5.0,2024-11-21,45 East 22nd Street #46B,27000.0,Manhattan,10010,condo,2,2.0,40.73989868,-73.98729706,1,20,16050.0,150288.0,132405.0,16050.0,2899.0,1093900.0,16050.0,2916.0,0.0,2799.0,13,26,9,1.469015827397351,52,0.0011045973464979,0.4878124035791422,0.5121875964208578,0.6689910521443999,0.0849429188522061,0.1563406356062943,0.0983029929034248,0.0767047207651959,0.5880592409750077,0.0139463128663992,0.0393397099660598,0.313236655353286,0.0289725393397099,0.189787102746066,0.1940759024992286,0.0247763036099969
